id,region_id,nivel_id,tipo,numero,clave,estatus,nomenclatura_id,sede,direccion,cp,ciudad,estado,fecha_inicio,fecha_fin
183,11,29,JUBILADO,19,D-IV-19,ACTIVA,4,COATZACOALCOS,"AZAHARES 32, ESQUINA CON JACARANDAS, FOVISSSTE 3",96558,COATZACOALCOS,VERACRUZ,15/02/2023,15/02/2026
184,3,29,JUBILADO,10,D-IV-10,ACTIVA,4,POZA RICA,NARCISO MENDOZA NO. 112  COL. TAJÍN,93330,POZA RICA,VERACRUZ,16/02/2023,16/02/2023
185,3,29,JUBILADO,31,D-IV-31,ACTIVA,4,TIHUATLAN,MAESTROS VERACRUZANOS  ESQ. RAFAEL ARREOLA S/N,92900,TIHUATALA,VERACRUZ,08/02/2023,08/02/2025
186,3,29,JUBILADO,15,D-IV-15,ACTIVA,4,PAPANTLA,"CALLE SALVADOR DÍAZ MIRÓN, ESQUINA DE CARRIL",93400,PAPANTLA,VERACRUZ,08/02/2023,06/02/2026
187,3,6,CT,1,C.T.01,ACTIVA,5,PAPANTLA,CENTENARIO #100,93400,PAPANTLA,VERACRUZ,10/02/2023,10/02/2025
188,11,37,CT,30,C.T.30,ACTIVA,5,MINATITLÁN,"AV. CONSTITUCIÓN S/N, COL 20 DE NOVIEMBRE",96739,MINATITLÁN,VERACRUZ,16/02/2023,16/02/2026
189,11,19,CT,25,C.T.25,ACTIVA,5,ACAYUCAN,"SAN FELIPE DE JESUS 102, FRACCIONAMIENTO SANTA CRUZ",96173,SOCONUSCO,VERACRUZ,16/02/2023,16/02/2026
190,11,21,CT,26,C.T.26,ACTIVA,5,ACAYUCAN,OCAMPO SUR # 56,96049,ACAYUCAN,VERACRUZ,16/02/2023,16/02/2026
228,2,42,CT,8,C.T.08,ACTIVA,5,TUXPAN,BLVD. MANUEL MAPLES ARCE S/N EJIDO LA CALZADA,92880,TUXPAN,VERACRUZ,22/03/2023,22/03/2026
237,2,29,JUBILADO,36,D-IV-36,ACTIVA,4,TAMIAHUA,"AV. CUAUTHEMOC #57, COL. DEL VALLE",92875,TUXPAN,VERACRUZ,13/03/2023,13/03/2026
